vidid, AestheticScore
cFqqrIbb0Jc, 4.796832752414048
rSDpBWTJMUw, 4.808395911939442
vGQYY71aeX4, 4.8488312505651265
e6VeFz-Aw8M, 4.890741052106023
jvxiGUmux5A, 5.106274078061688
HWiBnRrpCtI, 4.932356117060408
Bgfeq2dv1L0, 4.84375955699943
KNwKPfOKipk, 4.933745534159243
iX0HbrfRyvc, 5.530010249931365
3hwZTGZC4B0, 5.311199181625852
5cWA9sxtDt8, 5.127478279173374
o_W280R_Jt8, 4.736733300611377
NA6qffcFUp4, 5.484154477133416
6dle8Fmcf44, 4.886609882581979
VKk5InnxFes, 4.81408259854652
JMExFdJknt8, 5.0884467059077
kEDCE2nOQeM, 5.0564278941601515
nr7APKTZjWk, 5.253087361808866
eQ_8F4nzyiw, 5.353780496690888
cKVWZJC0DH4, 4.951002929592505
3J4MCQMPR8A, 5.217118855565786
6ul6GBmDwkw, 5.373374718241394
B8jGXrcyGnQ, 5.1463794906158
dc6c6oWWr4U, 4.6918359231203794
FaOAsUR-o-U, 5.0327626743819565
dqsKxoPeSNA, 4.591139769181609
sFGKMFVQzJI, 4.896781367540825
JYd0rsDM130, 4.7795145604759455
5ltn5Mxhsv4, 4.77433895599097
aNyDinNEB_8, 4.744261355604976
MaZB2HID-1k, 5.128750358446268
scXp-qf-XsI, 4.131189770065248
v5-Z1r8_fZY, 4.715438798069954
h40OQcbtHa8, 4.978502782527357
MCDxrpTk5Qo, 4.565682471496984
6eov4cFW2sc, 4.587306996341795
MKzzJ45_rtM, 4.9439518741564825
_nUbjG90rgc, 4.801262703171233
lLwv3PtBFrk, 4.565216833725572
pSNoQe0C7Ak, 4.661879386054352
utBRWK4GmmE, 4.794990537688136
_-bCLTM8pS0, 5.034722157171927
RCKhCFoSopc, 4.530655166134238
NkaB_n5cUvM, 5.153465832117945
uwDpVL493q8, 4.456212041899562
WDBMbNPI4uU, 5.113491217140108
RziEjVgIyjk, 5.1574584293412045
BygQhPAlGUI, 4.9915779596194625
bhL10d17ANc, 4.7545252200216055
Has4HvnPLeU, 4.545273226685822
E-fSfYdMFQ0, 4.886293647636194
rDUI39isAKg, 5.222759910859168
MY5-WutC5Ws, 5.263002109713852
nt3VWMxcFyA, 4.621796992607415
